IDNUMBO;PRODA;UGBBO;RATIOBO;;IDNUMCA;UGBCA;PRODA;RATIOCA;;IDNUMHE;UGBHE;PRODA;RATIOHE;;IDNUMOV;UGBOV;PRODA;RATIOOV;;IDNUMPO;UGBPO;PRODA;RATIOPO;;TDTE3;;ZENVI
32724;156092;7;22298,85714;;;;;;;44053;5;12770;2554;;36000;9;166678;18519,77778;;41767;49;654370;13354,4898;;37798.07;;0
35266;10081;7;1440,142857;;;;;;;44406;5;-2517,94;-503,588;;2291;10;15538;1553,8;;45614;49;655819,54;13384,07224;;94117.99;;0
36477;35617,11;7;5088,158571;;;;;;;44785;5;9347;1869,4;;3458;10;24713;2471,3;;46268;49;593441;12111,04082;;737751;;0
37456;12049;7;1721,285714;;;;;;;45114;5;12598,02;2519,604;;5753;10;32173,57;3217,357;;46302;49;655577;13379,12245;;112693;;0
38692;65113,36;7;9301,908571;;;;;;;45343;5;5850;1170;;7086;10;13971,1;1397,11;;47102;49;620076;12654,61224;;386;;0
39459;16926;7;2418;;;;;;;45461;5;-1211,01;-242,202;;29122;10;5894,21;589,421;;47310;49;548655,87;11197,05857;;98040.44;;0
39646;4624,45;7;660,6357143;;;;;;;45492;5;16930;3386;;30283;10;16936,77;1693,677;;47451;49;661324;13496,40816;;128226.23;;0
39883;32047,13;7;4578,161429;;;;;;;46523;5;114542;22908,4;;44553;10;7866,63;786,663;;48134;49;602254;12290,89796;;147987.08;;0
40076;7914;7;1130,571429;;;;;;;46843;5;153122;30624,4;;45486;10;18916;1891,6;;48461;49;601851,74;12282,68857;;1872;;1
40209;6891,51;7;984,5014286;;;;;;;47323;5;9031;1806,2;;46639;10;7829,96;782,996;;48654;49;592303,4;12087,82449;;516356.4;;0
40395;3942,69;7;563,2414286;;;;;;;47473;5;115125;23025;;49342;10;48583;4858,3;;49485;49;632739;12913,04082;;80337;;0
41970;18758;7;2679,714286;;;;;;;48164;5;240544;48108,8;;40356;10;14818,9;1481,89;;47325;49;620766,6;12668,70612;;127347;;0
42464;22668;7;3238,285714;;;;;;;48176;5;16319;3263,8;;46240;10;19320,42;1932,042;;49185;49;336897,12;6875,451429;;198599;;0
43027;24755;7;3536,428571;;;;;;;48549;5;197215,87;39443,174;;48053;10;31805,81;3180,581;;45144;49;686927;14018,91837;;59608;;0
43190;1891707;7;270243,8571;;;;;;;48678;5;8030;1606;;48052;10;27451,62;2745,162;;45175;49;687650;14033,67347;;291213;;0
43588;21272;7;3038,857143;;;;;;;48742;5;13553;2710,6;;34898;10;36656;3665,6;;46784;49;815689,38;16646,72204;;457208;;0
43961;24365;7;3480,714286;;;;;;;49060;5;11727;2345,4;;40400;10;-7307,74;-730,774;;48792;49;483735;9872,142857;;353580;;0
44454;16375;7;2339,285714;;;;;;;49305;5;1068973;213794,6;;4084;10;47817;4781,7;;46326;49;736864;15038,04082;;202152;;0
44645;82579;7;11797;;;;;;;49339;5;6818;1363,6;;33753;10;81150;8115;;2561;50;1331297;26625,94;;57755;;0
44670;9339;7;1334,142857;;;;;;;49347;5;12296;2459,2;;45780;10;39792;3979,2;;23437;50;1261892,94;25237,8588;;77047.9;;0
45095;13805;7;1972,142857;;;;;;;49497;5;3341;668,2;;34146;10;67468;6746,8;;31087;50;274739,33;5494,7866;;22006.35;;0
45096;16699;7;2385,571429;;;;;;;36818;5;-16400;-3280;;44374;10;56595,51;5659,551;;34934;50;1802258;36045,16;;25012.34;;0
45184;5792;7;827,4285714;;;;;;;36845;5;-664,55;-132,91;;5125;11;17470;1588,181818;;37296;50;618214,75;12364,295;;67946;;0
45338;12950;7;1850;;;;;;;44583;5;7128;1425,6;;7341;11;24622;2238,363636;;38082;50;1287579;25751,58;;53511.03;;0
45462;320,88;7;45,84;;;;;;;44893;5;467;93,4;;8094;11;778687;70789,72727;;40056;50;1450574;29011,48;;159237.73;;0
46013;2450;7;350;;;;;;;45904;5;-4000;-800;;8249;11;94077,46;8552,496364;;40849;50;3108255;62165,1;;634.2;;0
46225;15952,04;7;2278,862857;;;;;;;45927;5;18638;3727,6;;9449;11;15167;1378,818182;;41726;50;2473464;49469,28;;334700.7;;0
46239;19678;7;2811,142857;;;;;;;46483;5;6127;1225,4;;30745;11;16407,19;1491,562727;;41751;50;808189;16163,78;;19808;;0
46278;4918,19;7;702,5985714;;;;;;;48067;5;-388;-77,6;;38742;11;6250;568,1818182;;42523;50;744046;14880,92;;123486;;0
46279;7366;7;1052,285714;;;;;;;48692;5;4606;921,2;;41992;11;25773,7;2343,063636;;42526;50;893170;17863,4;;146876.84;;0
46287;-2008,84;7;-286,9771429;;;;;;;48698;5;3200,09;640,018;;42300;11;65934;5994;;42732;50;735098;14701,96;;943678.85;;0
46354;-4275;7;-610,7142857;;;;;;;48922;5;9676;1935,2;;45920;11;7115;646,8181818;;43708;50;476101;9522,02;;109976;;0
46511;20213,77;7;2887,681429;;;;;;;49193;5;673;134,6;;47082;11;20777,38;1888,852727;;43994;50;1595473;31909,46;;326079.12;;0
46555;9044;7;1292;;;;;;;49386;5;13144;2628,8;;47251;11;36404,84;3309,530909;;44011;50;1031956;20639,12;;516830.3;;0
46606;5942,75;7;848,9642857;;;;;;;5928;6;14656;2442,666667;;47828;11;16849;1531,727273;;44051;50;744747;14894,94;;42423;;0
46845;44558,49;7;6365,498571;;;;;;;6167;6;244277;40712,83333;;48775;11;19465;1769,545455;;44213;50;1084907,93;21698,1586;;25025;;0
46931;58574;7;8367,714286;;;;;;;18351;6;14340;2390;;49352;11;2329,35;211,7590909;;44978;50;896884;17937,68;;120970;;0
46941;16414;7;2344,857143;;;;;;;34681;6;402;67;;5291;11;12955;1177,727273;;44980;50;890751;17815,02;;176456;;1
47083;6337,31;7;905,33;;;;;;;40675;6;60811;10135,16667;;42485;11;-3633;-330,2727273;;45125;50;1253501;25070,02;;59496;;0
47772;9498;7;1356,857143;;;;;;;42060;6;24090;4015;;46241;11;25434,33;2312,211818;;45411;50;641029;12820,58;;167076;;0
47837;91112,59;7;13016,08429;;;;;;;43118;6;7818;1303;;45015;11;57706;5246;;45422;50;609447;12188,94;;310679.84;;0
47941;18246;7;2606,571429;;;;;;;46951;6;5300;883,3333333;;37925;11;47992;4362,909091;;45574;50;503157,9;10063,158;;709995.2;;0
48044;54959,88;7;7851,411429;;;;;;;47623;6;7832,92;1305,486667;;39225;11;48091;4371,909091;;45644;50;1102086,73;22041,7346;;398125.99;;0
48051;21505,62;7;3072,231429;;;;;;;47821;6;6743;1123,833333;;49199;11;182998;16636,18182;;45706;50;1628311;32566,22;;354471;;0
48081;13170,93;7;1881,561429;;;;;;;48171;6;5909;984,8333333;;39480;11;139053;12641,18182;;45751;50;1313119;26262,38;;126640.69;;0
48103;11280;7;1611,428571;;;;;;;49057;6;30451;5075,166667;;2567;12;24583;2048,583333;;45753;50;1105599;22111,98;;778595;;0
48133;22728;7;3246,857143;;;;;;;49336;6;8070;1345;;4270;12;30331;2527,583333;;46295;50;867779;17355,58;;101685;;0
48159;7096;7;1013,714286;;;;;;;47558;6;2389;398,1666667;;5033;12;24607,48;2050,623333;;46575;50;739743;14794,86;;1761;;0
48162;50598;7;7228,285714;;;;;;;35485;6;734949;122491,5;;9450;12;14059;1171,583333;;46878;50;1167485;23349,7;;354903.29;;0
48371;25682;7;3668,857143;;;;;;;7756;6;-142;-23,66666667;;9454;12;14509;1209,083333;;46907;50;663664;13273,28;;169190.19;;0
48373;19044;7;2720,571429;;;;;;;11034;6;39601;6600,166667;;39449;12;20244;1687;;46908;50;938834;18776,68;;150381;;0
48619;827368;7;118195,4286;;;;;;;22547;6;2540;423,3333333;;43131;12;15229;1269,083333;;47076;50;4143659;82873,18;;845480;;0
48667;333864;7;47694,85714;;;;;;;27726;6;9443;1573,833333;;46002;12;22526,89;1877,240833;;47450;50;1036767;20735,34;;290538;;0
48949;5100;7;728,5714286;;;;;;;29859;6;-2375,2;-395,8666667;;46020;12;17838,46;1486,538333;;47816;50;1337497,11;26749,9422;;42563;;0
48956;10908;7;1558,285714;;;;;;;32056;6;10259;1709,833333;;47128;12;1695;141,25;;47836;50;1255418,1;25108,362;;122736.06;;0
48998;6389;7;912,7142857;;;;;;;35754;6;14751;2458,5;;47185;12;6233,64;519,47;;48050;50;1098698;21973,96;;126091;;0
49009;45942;7;6563,142857;;;;;;;37050;6;100677,08;16779,51333;;49123;12;22035,62;1836,301667;;48063;50;1553225;31064,5;;188065;;0
49107;11207;7;1601;;;;;;;39280;6;-10258;-1709,666667;;49419;12;27923,25;2326,9375;;48114;50;931449;18628,98;;57812;;0
49250;2828;7;404;;;;;;;39790;6;10850;1808,333333;;49496;12;13236;1103;;48115;50;1226842;24536,84;;118068.37;;0
49374;5310;7;758,5714286;;;;;;;39984;6;6775,7;1129,283333;;42212;12;12841;1070,083333;;48117;50;871291;17425,82;;294317.95;;0
49384;9872;7;1410,285714;;;;;;;40104;6;11199;1866,5;;5473;12;13208;1100,666667;;48120;50;1636302;32726,04;;474050;;0
49518;12782;7;1826;;;;;;;40403;6;6023,91;1003,985;;5708;12;37999;3166,583333;;48124;50;877874;17557,48;;21744;;0
